"TIME","GEO","AIRPOL","NACE_R2","UNIT","Value"
"2008","Czech Republic","Nitrous oxide (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","4,986.14988"
"2008","Czech Republic","Hydrofluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","1,902.14233"
"2008","Czech Republic","Perfluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","39.75877"
"2008","Czech Republic","Sulphur hexafluoride and nitrogen trifluoride (CO2 equivalent) ","Total - all NACE activities","Thousand tonnes","93.29049"
"2008","Denmark","Carbon dioxide","Total - all NACE activities","Thousand tonnes","86,400.854"
"2008","Denmark","Methane (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","7,270.74521"
"2008","Denmark","Nitrous oxide (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","5,732.61588"
"2008","Denmark","Hydrofluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","868.47633"
"2008","Denmark","Perfluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","18.44449"
"2008","Denmark","Sulphur hexafluoride and nitrogen trifluoride (CO2 equivalent) ","Total - all NACE activities","Thousand tonnes","29.31076"
"2008","Germany (until 1990 former territory of the FRG)","Carbon dioxide","Total - all NACE activities","Thousand tonnes","724,796.667"
"2008","Germany (until 1990 former territory of the FRG)","Methane (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","59,851.9069"
"2008","Germany (until 1990 former territory of the FRG)","Nitrous oxide (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","45,269.45881"
"2008","Germany (until 1990 former territory of the FRG)","Hydrofluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","10,588.83161"
"2008","Germany (until 1990 former territory of the FRG)","Perfluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","567.64808"
"2008","Germany (until 1990 former territory of the FRG)","Sulphur hexafluoride and nitrogen trifluoride (CO2 equivalent) ","Total - all NACE activities","Thousand tonnes","3,000.80869"
"2008","Estonia","Carbon dioxide","Total - all NACE activities","Thousand tonnes","17,698.243"
"2008","Estonia","Methane (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","1,058.19825"
"2008","Estonia","Nitrous oxide (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","765.80699"
"2008","Estonia","Hydrofluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","127.68009"
"2008","Estonia","Perfluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","0"
"2008","Estonia","Sulphur hexafluoride and nitrogen trifluoride (CO2 equivalent) ","Total - all NACE activities","Thousand tonnes","1.2876"
"2008","Ireland","Carbon dioxide","Total - all NACE activities","Thousand tonnes","32,543.846"
"2008","Ireland","Methane (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","12,390.31113"
"2008","Ireland","Nitrous oxide (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","6,892.48998"
"2008","Ireland","Hydrofluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","552.83711"
"2008","Ireland","Perfluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","136.13626"
"2008","Ireland","Sulphur hexafluoride and nitrogen trifluoride (CO2 equivalent) ","Total - all NACE activities","Thousand tonnes","54.42759"
"2008","Greece","Carbon dioxide","Total - all NACE activities","Thousand tonnes","89,200.859"
"2008","Greece","Methane (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","10,921.32426"
"2008","Greece","Nitrous oxide (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","5,470.13756"
"2008","Greece","Hydrofluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","3,710.34822"
"2008","Greece","Perfluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","118.95221"
"2008","Greece","Sulphur hexafluoride and nitrogen trifluoride (CO2 equivalent) ","Total - all NACE activities","Thousand tonnes","7.182"
"2008","Spain","Carbon dioxide","Total - all NACE activities","Thousand tonnes","275,697.892"
"2008","Spain","Methane (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","39,097.10893"
"2008","Spain","Nitrous oxide (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","14,836.83683"
"2008","Spain","Hydrofluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","10,461.65326"
"2008","Spain","Perfluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","163.60032"
"2008","Spain","Sulphur hexafluoride and nitrogen trifluoride (CO2 equivalent) ","Total - all NACE activities","Thousand tonnes","255.18623"
