Dim.1
quanti
   ;correlation;p.value;
AGEPR=AGEPR_42;-0.4301;0;
AGEPR=AGEPR_41;-0.5662;0;
AGEPR=AGEPR_40;-0.6432;0;
AGEPR=AGEPR_39;-0.8811;0;
AGEPR=AGEPR_38;-0.7428;0;
AGEPR=AGEPR_37;-0.4978;0;
AGEPR=AGEPR_36;-0.6004;0;
AGEPR=AGEPR_35;-1.2137;0;
AGEPR=AGEPR_34;-1.1122;0;
AGEPR=AGEPR_33;-1.55;0;
AGEPR=AGEPR_32;-1.2166;0;
AGEPR=AGEPR_31;-1.275;0;
AGEPR=AGEPR_30;-1.1891;0;
AGEPR=AGEPR_29;-0.8581;0;
AGEPR=AGEPR_28;-0.6975;0;
AGEPR=AGEPR_27;-1.2339;0;
AGEPR=AGEPR_26;-1.8534;0;
AGEPR=AGEPR_25;-1.5608;0;
AGEPR=AGEPR_24;-2.1438;0;
AGEPR=AGEPR_23;-1.8376;0;
AGEPR=AGEPR_22;-1.3194;0;
AGEPR=AGEPR_21;-0.7369;0;
AGEPR=AGEPR_20;-1.9091;0;
AGEPR=AGEPR_19;-2.2994;0;
AGEPR=AGEPR_18;-2.7009;0;
AGEPR=AGEPR_17;-3.152;0;
SEXEPR=SEXEPR_2;-0.0537;0;
TYPMEN5=TYPMEN5_4;-0.3247;0;
TYPMEN5=TYPMEN5_2;-0.3745;0;
TYPMEN5=TYPMEN5_1;-0.0555;0;
NENFACT=NENFACT_2;-0.3276;0;
NACTIFS=NACTIFS_4;-0.4211;0;
NACTIFS=NACTIFS_3;-0.1127;0;
NACTIFS=NACTIFS_2;-0.4363;0;
NACTIFS=NACTIFS_1;-0.3403;0;
NENFANTS=NENFANTS_6;-1.5221;0;
NENFANTS=NENFANTS_4;-0.1656;0;
NENFANTS=NENFANTS_3;-0.0139;0;
NCOUPLES=NCOUPLES_0;-0.1799;0;
NPERS=NPERS_8;-1.5129;0;
NPERS=NPERS_7;-0.1962;0;
NPERS=NPERS_6;-0.2377;0;
DNIVIE2=DNIVIE2_7;-0.1849;0;
DNIVIE2=DNIVIE2_2;-0.1137;0;
DNIVIE2=DNIVIE2_1;-0.1593;0;
QNIVIE2=QNIVIE2_4;-0.0766;0;
QNIVIE2=QNIVIE2_1;-0.1342;0;
decile.uc=decile.uc_7;-0.1508;0;
decile.uc=decile.uc_1;-0.1182;0;
DECTYPO_2010=DECTYPO_2010_D0_7;-0.1508;0;
DECTYPO_2010=DECTYPO_2010_D0_1;-0.1182;0;
DECTYPO_2017=DECTYPO_2017_D0_7;-0.1508;0;
DECTYPO_2017=DECTYPO_2017_D0_1;-0.1182;0;
typo2010.acp.2017=typo2010.acp.2017_2;-0.3234;0;
typo2010.acp.2017=typo2010.acp.2017_1;-1.9697;0;
typo.2.4.2017=typo.2.4.2017_2;-0.4413;0;
typo.2.4.2017=typo.2.4.2017_1;-1.9161;0;
pauvrete.60=pauvrete.60_1;-0.1155;0;
pauvreté.50=pauvreté.50_1;-0.0799;0;

Dim.2
quanti
   ;correlation;p.value;
Axe.2;0.9966;0;
w.revact;0.7701;0;
REVACT.1;0.5532;0;
REVACT;0.5532;0;
SALAIRES;0.5351;0;
w.cantines;0.4712;0;
COEFFUC;0.4346;0;
w.commo;0.4209;0;
w.depenerpreng;0.4204;0;
cantines;0.401;0;
revlibdisp;0.3907;0;
w.television;0.3716;0;
revtotlib;0.3716;0;
REVDISP;0.3631;0;
C08;0.3584;0;
commo;0.3584;0;
REVTOT;0.347;0;
Rmini_I;0.3422;0;
Rmini;0.327;0;
television;0.3261;0;
revlibdispuc;0.3067;0;
enerdir;0.3008;0;
revtotlibuc;0.2879;0;
ctot113;0.2799;0;
carburant;0.2594;0;
C03;0.242;0;
C09;0.2375;0;
deptot;0.2372;0;
NIVIE;0.2258;0;
redispuc;0.2258;0;
C13;0.223;0;
w.assurances;0.22;0;
revtotuc;0.2163;0;
C11;0.2147;0;
w.enerdom;0.2066;0;
C01;0.2033;0;
C12;0.1958;0;
enerdom;0.1947;0;
TAXHAB_M;0.1864;0;
w.carbu;0.18;0;
C07;0.1756;0;
assurances;0.1614;0;
IMPOTREV_M;0.1528;0;
PREST_FAM_TOT;0.1437;0;
REVINDEP;0.1194;0;
Axe.5;0.0996;0;
w.enerdir;0.0893;0;
C05;0.0857;0;
C06;0.0844;0;
REV702;0.0825;0;
revdiv;0.0485;0;
REVEXC;0.0478;0;
C02;0.0455;0;
C10;0.0187;0;
w.revdiv;-0.0016;0.0021;
REV700;-0.0047;0;
Axe.3;-0.0119;0;
pondmen.cs24.NPERS_84;-0.0171;0;
pondmen.cs24_84;-0.0195;0;
REVPAT;-0.0207;0;
pondmen;-0.039;0;
Axe.1;-0.0494;0;
depreng;-0.0631;0;
w.enerdomtot;-0.0645;0;
w.revpat;-0.0737;0;
CHOMAGE;-0.079;0;
Axe.4;-0.0939;0;
revaide;-0.1532;0;
REV701;-0.1717;0;
w.revaide;-0.1958;0;
w.enerdircontr;-0.2267;0;
C14;-0.2379;0;
deplogtot;-0.2898;0;
C04;-0.2898;0;
log.non.ener;-0.3386;0;
RETRAITES;-0.4213;0;
w.depreng;-0.4355;0;
REVSOC;-0.4666;0;
w.log.non.ener;-0.5318;0;
w.deplogpreng;-0.5683;0;
w.logtot;-0.5683;0;
w.revsoc;-0.7286;0;

quali
   ;R2;p.value;
pauvreté.50;0.0147;0;
pauvrete.60;0.0353;0;
typo.2.4.2017;0.8196;0;
typo2010.acp.2017;0.8063;0;
DECTYPO_2017;0.1065;0;
DECTYPO_2010;0.1065;0;
decile.uc;0.1065;0;
QNIVIE2;0.0944;0;
DNIVIE2;0.1018;0;
NPERS;0.2295;0;
NCOUPLES;0.0919;0;
NENFANTS;0.2118;0;
NACTIFS;0.4594;0;
NENFACT;0.0195;0;
TYPMEN5;0.2234;0;
SEXEPR;0.022;0;
AGEPR;0.4123;0;
CS42PR;0.4767;0;
CSP8PR;0.4435;0;
TYPVOIS;0.0961;0;
TYPLOG;0.1023;0;
TUU;0.0295;0;
CATAEU;0.0271;0;
TAU;0.0174;0;
Existrs;0.0021;0;
Nbrs;0.0094;0;
Nbphab;0.0904;0;
Surfhab;0.2223;0;
Htl;0.1088;0;
Ancons;0.0579;0;
CONFORT3;4e-04;0;
CONFORT5;0.004;0;
CONFORT7;0.004;0;
CONFORT8;0.003;0;
CONFORT.MOY;0.0131;0;
Stalog;0.3274;0;
stalog4;0.3105;0;
vehic;0.0842;0;
Patrib;0.1842;0;
Varia;0.0146;0;
Varib;0.0177;0;
Varic;0.0404;0;
Varif;0.0273;0;
Chomagea;0.4958;0;
Chomageb;0.244;0;
Chomagec;0.0236;0;
Aise;0.0301;0;
Contfin;0.0248;0;
Espoira;0.0769;0;
Espoirb;0.0787;0;
Niveau;0.0511;0;
CONFORT1;2e-04;0;
CONFORT4;1e-04;0;
CONFORT6;1e-04;0;
CONFORT2;0;0.0012;

category
   ;Estimate;p.value;
Niveau=Niveau_101;3.7895;0;
Espoirb=Espoirb_101;3.9241;0;
Espoirb=Espoirb_10;0.5323;0;
Espoirb=Espoirb_8;0.0548;0;
Espoirb=Espoirb_4;0.0661;0;
Espoirb=Espoirb_3;0.1538;0;
Espoira=Espoira_101;3.9447;0;
Espoira=Espoira_11;0.0979;0;
Espoira=Espoira_10;0.3698;0;
Espoira=Espoira_6;0.1499;0;
Espoira=Espoira_3;0.079;0;
Contfin=Contfin_101;3.7082;0;
Aise=Aise_101;3.3703;0;
Aise=Aise_8;1.2868;0;
Chomagec=Chomagec_101;3.2674;0;
Chomagec=Chomagec_2;0.1072;0;
Chomageb=Chomageb_101;2.9483;0;
Chomageb=Chomageb_9;0.0698;0;
Chomagea=Chomagea_101;3.3269;0;
Chomagea=Chomagea_3;0.1376;0;
Chomagea=Chomagea_2;0.2554;0;
Chomagea=Chomagea_1;0.0117;0;
Varif=Varif_101;3.504;0;
Varic=Varic_101;3.6;0;
Varic=Varic_2;0.0054;0;
Varib=Varib_101;3.6408;0;
Varia=Varia_101;3.5542;0;
Varia=Varia_9;0.8426;0;
Patrib=Patrib_101;3.8618;0;
Patrib=Patrib_14;0.3163;0;
Patrib=Patrib_13;0.2305;0;
Patrib=Patrib_12;0.5711;0;
Patrib=Patrib_11;0.6283;0;
Patrib=Patrib_10;0.3209;0;
Patrib=Patrib_9;0.442;0;
Patrib=Patrib_8;0.1629;0;
vehic=vehic_1;0.5991;0;
stalog4=stalog4_4;0.165;0;
stalog4=stalog4_1;1.1197;0;
Stalog=Stalog_6;1.1354;0;
Stalog=Stalog_1;1.1983;0;
CONFORT.MOY=CONFORT.MOY_7;0.6043;0;
CONFORT.MOY=CONFORT.MOY_6;0.1164;0;
CONFORT.MOY=CONFORT.MOY_4;0.3915;0;
CONFORT.MOY=CONFORT.MOY_0;1.7273;0;
CONFORT8=CONFORT8_0;1.1726;0;
CONFORT7=CONFORT7_1;0.1848;0;
CONFORT5=CONFORT5_0;0.1343;0;
CONFORT3=CONFORT3_0;0.129;0;
Ancons=Ancons_101;3.8463;0;
Ancons=Ancons_9;0.0144;0;
Ancons=Ancons_8;0.4199;0;
Ancons=Ancons_7;0.3631;0;
Htl=Htl_9;3.2805;0;
Surfhab=Surfhab_250;0.7761;0;
Surfhab=Surfhab_218;1.4257;0;
Surfhab=Surfhab_210;0.9814;0;
Surfhab=Surfhab_196;2.5222;0;
Surfhab=Surfhab_190;2.07;0;
Surfhab=Surfhab_170;1.3392;0;
Surfhab=Surfhab_169;1.7681;0;
Surfhab=Surfhab_166;2.211;0;
Surfhab=Surfhab_164;2.1243;0;
Surfhab=Surfhab_160;0.4574;0;
Surfhab=Surfhab_159;1.8444;0;
Surfhab=Surfhab_153;1.1019;0;
Surfhab=Surfhab_150;0.9571;0;
Surfhab=Surfhab_148;1.4901;0;
Surfhab=Surfhab_147;1.6583;0;
Surfhab=Surfhab_145;0.6742;0;
Surfhab=Surfhab_144;0.7902;0;
Surfhab=Surfhab_140;0.7672;0;
Surfhab=Surfhab_135;1.0586;0;
Surfhab=Surfhab_130;0.788;0;
Surfhab=Surfhab_127;1.0282;0;
Surfhab=Surfhab_125;0.8677;0;
Surfhab=Surfhab_120;0.3395;0;
Surfhab=Surfhab_119;2.2539;0;
Surfhab=Surfhab_118;0.5285;0;
Surfhab=Surfhab_117;1.0359;0;
Surfhab=Surfhab_116;1.4035;0;
Surfhab=Surfhab_114;1.0193;0;
Surfhab=Surfhab_113;1.9509;0;
Surfhab=Surfhab_110;0.2428;0;
Surfhab=Surfhab_109;0.9002;0;
Surfhab=Surfhab_108;0.7753;0;
Surfhab=Surfhab_106;1.8084;0;
Surfhab=Surfhab_100;0.3449;0;
Surfhab=Surfhab_96;0.5867;0;
Surfhab=Surfhab_93;0.9416;0;
Surfhab=Surfhab_90;0.1754;0;
Surfhab=Surfhab_89;0.841;0;
Surfhab=Surfhab_86;0.5293;0;
Surfhab=Surfhab_82;0.2897;0;
Surfhab=Surfhab_77;1.2679;0;
Surfhab=Surfhab_52;0.5998;0;
Surfhab=Surfhab_48;0.3157;0;
Surfhab=Surfhab_20;0.6187;0;
Nbphab=Nbphab_99;3.6591;0;
Nbphab=Nbphab_10;0.4321;0;
Nbphab=Nbphab_8;0.2196;0;
Nbphab=Nbphab_7;0.3933;0;
Nbphab=Nbphab_6;0.1844;0;
Nbrs=Nbrs_9;3.3661;0;
Existrs=Existrs_2;0.1221;0;
TAU=TAU_1;0.0555;0;
CATAEU=CATAEU_300;0.2658;0;
CATAEU=CATAEU_221;0.23;0;
CATAEU=CATAEU_211;0.2223;0;
CATAEU=CATAEU_120;0.2555;0;
CATAEU=CATAEU_112;0.039;0;
TUU=TUU_4;0.138;0;
TUU=TUU_3;0.1095;0;
TUU=TUU_2;0.2868;0;
TUU=TUU_0;0.2046;0;
TYPLOG=TYPLOG_7;1.267;0;
TYPLOG=TYPLOG_2;0.0371;0;
TYPLOG=TYPLOG_1;0.3177;0;
TYPVOIS=TYPVOIS_2;0.4418;0;
TYPVOIS=TYPVOIS_1;0.6083;0;
CSP8PR=CSP8PR_6;0.6274;0;
CSP8PR=CSP8PR_5;0.4339;0;
CSP8PR=CSP8PR_4;0.8818;0;
CSP8PR=CSP8PR_3;0.9091;0;
CSP8PR=CSP8PR_2;1.1022;0;
CSP8PR=CSP8PR_1;1.1378;0;
CS42PR=CS42PR_69;0.5885;0;
CS42PR=CS42PR_65;0.4166;0;
CS42PR=CS42PR_64;0.8669;0;
CS42PR=CS42PR_63;0.5481;0;
CS42PR=CS42PR_62;0.724;0;
CS42PR=CS42PR_55;0.1249;0;
CS42PR=CS42PR_54;0.3889;0;
CS42PR=CS42PR_53;0.71;0;
CS42PR=CS42PR_52;0.2357;0;
CS42PR=CS42PR_48;0.929;0;
CS42PR=CS42PR_47;0.7405;0;
CS42PR=CS42PR_46;0.5995;0;
CS42PR=CS42PR_45;0.78;0;
CS42PR=CS42PR_43;0.5508;0;
CS42PR=CS42PR_42;0.4402;0;
CS42PR=CS42PR_38;0.6787;0;
CS42PR=CS42PR_37;0.8894;0;
CS42PR=CS42PR_34;0.4165;0;
CS42PR=CS42PR_33;1.0409;0;
CS42PR=CS42PR_31;0.5782;0;
CS42PR=CS42PR_23;1.1011;0;
CS42PR=CS42PR_22;0.8117;0;
CS42PR=CS42PR_21;0.8833;0;
CS42PR=CS42PR_13;1.0116;0;
CS42PR=CS42PR_12;0.6657;0;
CS42PR=CS42PR_11;1.0354;0;
AGEPR=AGEPR_58;0.8689;0;
AGEPR=AGEPR_57;0.6413;0;
AGEPR=AGEPR_56;1.4112;0;
AGEPR=AGEPR_55;0.9953;0;
AGEPR=AGEPR_54;0.6229;0;
AGEPR=AGEPR_53;1.4617;0;
AGEPR=AGEPR_52;1.3846;0;
AGEPR=AGEPR_51;1.2074;0;
AGEPR=AGEPR_50;0.9792;0;
AGEPR=AGEPR_49;1.3899;0;
AGEPR=AGEPR_48;0.9548;0;
AGEPR=AGEPR_47;1.1328;0;
AGEPR=AGEPR_46;1.2364;0;
AGEPR=AGEPR_45;1.5617;0;
AGEPR=AGEPR_44;1.0978;0;
AGEPR=AGEPR_43;1.2806;0;
AGEPR=AGEPR_42;1.6061;0;
AGEPR=AGEPR_41;1.0839;0;
AGEPR=AGEPR_40;0.8836;0;
AGEPR=AGEPR_39;0.802;0;
AGEPR=AGEPR_38;0.9028;0;
AGEPR=AGEPR_37;1.1671;0;
AGEPR=AGEPR_36;1.3626;0;
AGEPR=AGEPR_35;0.8893;0;
AGEPR=AGEPR_32;0.7253;0;
AGEPR=AGEPR_30;0.7534;0;
AGEPR=AGEPR_28;1.1119;0;
SEXEPR=SEXEPR_1;0.2171;0;
TYPMEN5=TYPMEN5_4;0.9689;0;
TYPMEN5=TYPMEN5_2;0.209;0;
NENFACT=NENFACT_2;0.4133;0;
NENFACT=NENFACT_1;0.1855;0;
NACTIFS=NACTIFS_4;0.614;0;
NACTIFS=NACTIFS_3;0.7218;0;
NACTIFS=NACTIFS_2;0.5775;0;
NENFANTS=NENFANTS_3;0.639;0;
NENFANTS=NENFANTS_2;0.938;0;
NENFANTS=NENFANTS_1;0.3632;0;
NCOUPLES=NCOUPLES_1;0.4402;0;
NPERS=NPERS_5;0.6844;0;
NPERS=NPERS_4;1.0484;0;
NPERS=NPERS_3;0.4906;0;
DNIVIE2=DNIVIE2_10;0.5248;0;
DNIVIE2=DNIVIE2_9;0.5206;0;
DNIVIE2=DNIVIE2_8;0.3507;0;
DNIVIE2=DNIVIE2_7;0.43;0;
QNIVIE2=QNIVIE2_5;0.5193;0;
QNIVIE2=QNIVIE2_4;0.3849;0;
decile.uc=decile.uc_10;0.4724;0;
decile.uc=decile.uc_9;0.4576;0;
decile.uc=decile.uc_8;0.3174;0;
decile.uc=decile.uc_7;0.4743;0;
decile.uc=decile.uc_6;0.1607;0;
decile.uc=decile.uc_4;0.1427;0;
DECTYPO_2010=DECTYPO_2010_D0_9;0.4576;0;
DECTYPO_2010=DECTYPO_2010_D0_8;0.3174;0;
DECTYPO_2010=DECTYPO_2010_D0_7;0.4743;0;
DECTYPO_2010=DECTYPO_2010_D0_6;0.1607;0;
DECTYPO_2010=DECTYPO_2010_D0_4;0.1427;0;
DECTYPO_2010=DECTYPO_2010_D_10;0.4724;0;
DECTYPO_2017=DECTYPO_2017_D0_9;0.4576;0;
DECTYPO_2017=DECTYPO_2017_D0_8;0.3174;0;
DECTYPO_2017=DECTYPO_2017_D0_7;0.4743;0;
DECTYPO_2017=DECTYPO_2017_D0_6;0.1607;0;
DECTYPO_2017=DECTYPO_2017_D0_4;0.1427;0;
DECTYPO_2017=DECTYPO_2017_D_10;0.4724;0;
typo2010.acp.2017=typo2010.acp.2017_3;1.9944;0;
typo2010.acp.2017=typo2010.acp.2017_1;0.1759;0;
typo.2.4.2017=typo.2.4.2017_3;1.9797;0;
typo.2.4.2017=typo.2.4.2017_1;0.2408;0;
pauvrete.60=pauvrete.60_0;0.4003;0;
pauvreté.50=pauvreté.50_0;0.3486;0;
Surfhab=Surfhab_260;0.6748;0;
Surfhab=Surfhab_85;0.1519;0;
TUU=TUU_6;0.0111;0;
CS42PR=CS42PR_35;0.1942;0;
TAU=TAU_5;2.3705;0;
Surfhab=Surfhab_56;0.3323;0;
AGEPR=AGEPR_61;0.1412;0;
DNIVIE2=DNIVIE2_6;0.1109;0;
Surfhab=Surfhab_94;0.3864;0;
Htl=Htl_3;0.1917;0;
NPERS=NPERS_6;0.0758;0;
Surfhab=Surfhab_37;0.4425;0;
AGEPR=AGEPR_29;0.5496;0;
AGEPR=AGEPR_34;0.5433;0;
Surfhab=Surfhab_105;0.1801;0;
Surfhab=Surfhab_95;0.2099;0;
AGEPR=AGEPR_27;0.4811;0;
AGEPR=AGEPR_22;0.573;0;
Surfhab=Surfhab_600;0.5398;0;
Surfhab=Surfhab_136;0.436;0;
NENFANTS=NENFANTS_4;0.0023;0;
AGEPR=AGEPR_31;0.489;0;
Surfhab=Surfhab_91;0.4815;0;
CONFORT1=CONFORT1_1;0.0671;0;
Surfhab=Surfhab_300;0.5891;0;
decile.uc=decile.uc_5;0.0799;0;
DECTYPO_2010=DECTYPO_2010_D0_5;0.0799;0;
DECTYPO_2017=DECTYPO_2017_D0_5;0.0799;0;
Surfhab=Surfhab_198;0.572;0;
Surfhab=Surfhab_104;0.235;0;
Surfhab=Surfhab_200;0.1075;0;
Surfhab=Surfhab_234;0.532;0;
Surfhab=Surfhab_97;0.2512;0;
Surfhab=Surfhab_103;0.3106;0;
Surfhab=Surfhab_76;0.1805;0;
AGEPR=AGEPR_24;0.4419;0;
Surfhab=Surfhab_107;0.4125;0;
Surfhab=Surfhab_71;0.1505;0;
CONFORT4=CONFORT4_0;0.0514;0;
DNIVIE2=DNIVIE2_4;0.0688;0;
AGEPR=AGEPR_21;0.1556;0;
Surfhab=Surfhab_84;0.1074;0;
Surfhab=Surfhab_230;0.3353;0;
Surfhab=Surfhab_350;0.2408;0;
AGEPR=AGEPR_59;0.4152;0;
CONFORT6=CONFORT6_0;0.0116;0;
Surfhab=Surfhab_43;0.1841;0;
Surfhab=Surfhab_99;0.0897;0;
AGEPR=AGEPR_60;0.3916;0;
Surfhab=Surfhab_340;0.3258;0;
Surfhab=Surfhab_155;0.3204;0;
AGEPR=AGEPR_33;0.3946;0;
Surfhab=Surfhab_57;0.0454;0;
Surfhab=Surfhab_88;0.0665;0;
Surfhab=Surfhab_31;0.1707;0;
Surfhab=Surfhab_180;0.0133;0;
CONFORT.MOY=CONFORT.MOY_5;0.1829;0;
Surfhab=Surfhab_79;0.0075;0;
Surfhab=Surfhab_185;0.0235;0;
AGEPR=AGEPR_25;0.2933;0;
CONFORT2=CONFORT2_1;0.0089;0.0012;
NCOUPLES=NCOUPLES_2;-0.0012;0.0051;
Surfhab=Surfhab_72;-0.0333;0.0044;
CONFORT2=CONFORT2_0;-0.0089;0.0012;
Surfhab=Surfhab_13;-0.1399;2e-04;
Surfhab=Surfhab_58;-0.0911;2e-04;
Surfhab=Surfhab_124;-0.1538;0;
CS42PR=CS42PR_56;-0.203;0;
Surfhab=Surfhab_69;-0.1124;0;
TYPLOG=TYPLOG_6;-0.0716;0;
Surfhab=Surfhab_220;-0.1272;0;
Surfhab=Surfhab_73;-0.1127;0;
Nbphab=Nbphab_4;-0.4406;0;
NENFANTS=NENFANTS_6;-0.3998;0;
NPERS=NPERS_8;-0.392;0;
Nbrs=Nbrs_3;-0.8297;0;
Surfhab=Surfhab_66;-0.1512;0;
Surfhab=Surfhab_390;-0.3114;0;
Surfhab=Surfhab_27;-0.1976;0;
Surfhab=Surfhab_115;-0.1413;0;
Espoira=Espoira_4;-0.1228;0;
Chomagec=Chomagec_5;-0.7103;0;
Surfhab=Surfhab_122;-0.2166;0;
TYPLOG=TYPLOG_3;-0.111;0;
Nbphab=Nbphab_9;-0.3239;0;
Chomagea=Chomagea_9;-0.6816;0;
Surfhab=Surfhab_143;-0.3659;0;
Varib=Varib_4;-0.437;0;
CS42PR=CS42PR_67;-0.1107;0;
Surfhab=Surfhab_25;-0.3514;0;
Nbphab=Nbphab_19;-0.8754;0;
Chomagec=Chomagec_4;-0.7381;0;
Stalog=Stalog_5;-0.3481;0;
CONFORT6=CONFORT6_1;-0.0116;0;
Chomagec=Chomagec_9;-0.6873;0;
Surfhab=Surfhab_61;-0.3701;0;
Espoira=Espoira_12;-0.2309;0;
Surfhab=Surfhab_47;-0.2292;0;
Surfhab=Surfhab_142;-0.6671;0;
CONFORT4=CONFORT4_1;-0.0514;0;
TAU=TAU_2;-0.1726;0;
Surfhab=Surfhab_28;-0.4561;0;
Htl=Htl_5;-0.5023;0;
Aise=Aise_9;-1.1642;0;
NENFANTS=NENFANTS_5;-0.8445;0;
TYPMEN5=TYPMEN5_5;-0.1566;0;
Surfhab=Surfhab_102;-0.8266;0;
stalog4=stalog4_2;-0.26;0;
Stalog=Stalog_2;-0.1814;0;
Surfhab=Surfhab_307;-0.7451;0;
TUU=TUU_1;-0.0206;0;
CONFORT.MOY=CONFORT.MOY_2;-0.4553;0;
NENFACT=NENFACT_3;-0.0475;0;
Ancons=Ancons_6;-0.1873;0;
Surfhab=Surfhab_101;-0.3856;0;
Surfhab=Surfhab_80;-0.1321;0;
Varif=Varif_5;-0.5302;0;
Surfhab=Surfhab_156;-0.7343;0;
NPERS=NPERS_7;-0.6221;0;
Varif=Varif_3;-0.5607;0;
CONFORT.MOY=CONFORT.MOY_1;-0.0109;0;
TAU=TAU_6;-0.4023;0;
Surfhab=Surfhab_197;-0.7151;0;
CONFORT1=CONFORT1_0;-0.0671;0;
Surfhab=Surfhab_33;-0.411;0;
Surfhab=Surfhab_60;-0.1793;0;
Surfhab=Surfhab_26;-0.6677;0;
Niveau=Niveau_1;-0.0401;0;
AGEPR=AGEPR_19;-0.0502;0;
Aise=Aise_5;-0.6137;0;
Surfhab=Surfhab_74;-0.3546;0;
AGEPR=AGEPR_91;-0.7566;0;
Varic=Varic_9;-0.7897;0;
Surfhab=Surfhab_111;-1.0131;0;
Surfhab=Surfhab_36;-0.6512;0;
DNIVIE2=DNIVIE2_5;-0.0444;0;
Surfhab=Surfhab_53;-0.6571;0;
Surfhab=Surfhab_128;-1.0621;0;
Nbrs=Nbrs_2;-0.9624;0;
Surfhab=Surfhab_83;-0.4527;0;
Espoirb=Espoirb_6;-0.2996;0;
Patrib=Patrib_15;-0.4077;0;
Varib=Varib_1;-0.2645;0;
Surfhab=Surfhab_65;-0.2487;0;
Niveau=Niveau_9;-1.3073;0;
Niveau=Niveau_6;-1.0503;0;
Niveau=Niveau_5;-0.8858;0;
Niveau=Niveau_4;-0.388;0;
Niveau=Niveau_3;-0.1019;0;
Niveau=Niveau_2;-0.016;0;
Espoirb=Espoirb_99;-0.8197;0;
Espoirb=Espoirb_12;-0.3635;0;
Espoirb=Espoirb_11;-0.099;0;
Espoirb=Espoirb_9;-0.7461;0;
Espoirb=Espoirb_7;-0.0116;0;
Espoirb=Espoirb_5;-0.8337;0;
Espoirb=Espoirb_2;-0.7718;0;
Espoirb=Espoirb_1;-0.786;0;
Espoira=Espoira_99;-0.7982;0;
Espoira=Espoira_9;-0.7926;0;
Espoira=Espoira_8;-0.4494;0;
Espoira=Espoira_7;-0.0599;0;
Espoira=Espoira_5;-0.8257;0;
Espoira=Espoira_2;-0.6254;0;
Espoira=Espoira_1;-0.7363;0;
Contfin=Contfin_9;-1.3836;0;
Contfin=Contfin_8;-1.182;0;
Contfin=Contfin_3;-0.5465;0;
Contfin=Contfin_2;-0.4789;0;
Contfin=Contfin_1;-0.1171;0;
Aise=Aise_4;-0.9203;0;
Aise=Aise_3;-0.9266;0;
Aise=Aise_2;-0.491;0;
Aise=Aise_1;-0.5413;0;
Chomagec=Chomagec_99;-0.8734;0;
Chomagec=Chomagec_3;-0.0089;0;
Chomagec=Chomagec_1;-0.3565;0;
Chomageb=Chomageb_99;-1.6329;0;
Chomageb=Chomageb_5;-0.5183;0;
Chomageb=Chomageb_4;-0.4292;0;
Chomageb=Chomageb_3;-0.2167;0;
Chomageb=Chomageb_2;-0.1477;0;
Chomageb=Chomageb_1;-0.0733;0;
Chomagea=Chomagea_99;-1.9449;0;
Chomagea=Chomagea_4;-0.3363;0;
Varif=Varif_9;-0.9009;0;
Varif=Varif_4;-0.7949;0;
Varif=Varif_2;-0.2783;0;
Varif=Varif_1;-0.4391;0;
Varic=Varic_6;-0.8659;0;
Varic=Varic_5;-0.7164;0;
Varic=Varic_4;-0.6434;0;
Varic=Varic_3;-0.5364;0;
Varic=Varic_1;-0.0536;0;
Varib=Varib_6;-1.7362;0;
Varib=Varib_5;-0.5626;0;
Varib=Varib_3;-0.4975;0;
Varib=Varib_2;-0.1431;0;
Varia=Varia_8;-3.3754;0;
Varia=Varia_2;-0.4664;0;
Varia=Varia_1;-0.555;0;
Patrib=Patrib_99;-0.6526;0;
Patrib=Patrib_98;-1.0421;0;
Patrib=Patrib_7;-0.0942;0;
Patrib=Patrib_6;-0.4175;0;
Patrib=Patrib_5;-0.6466;0;
Patrib=Patrib_4;-0.5612;0;
Patrib=Patrib_3;-0.6711;0;
Patrib=Patrib_2;-0.7326;0;
Patrib=Patrib_1;-1.3083;0;
vehic=vehic_2;-0.5991;0;
stalog4=stalog4_3;-1.0248;0;
Stalog=Stalog_4;-0.9518;0;
Stalog=Stalog_3;-0.8524;0;
CONFORT.MOY=CONFORT.MOY_3;-2.5562;0;
CONFORT8=CONFORT8_1;-1.1726;0;
CONFORT7=CONFORT7_0;-0.1848;0;
CONFORT5=CONFORT5_1;-0.1343;0;
CONFORT3=CONFORT3_1;-0.129;0;
Ancons=Ancons_99;-0.6987;0;
Ancons=Ancons_10;-1.9344;0;
Ancons=Ancons_5;-0.584;0;
Ancons=Ancons_4;-0.4675;0;
Ancons=Ancons_3;-0.3721;0;
Ancons=Ancons_2;-0.0863;0;
Ancons=Ancons_1;-0.3133;0;
Htl=Htl_8;-1.2795;0;
Htl=Htl_2;-1.3043;0;
Htl=Htl_1;-0.3862;0;
Surfhab=Surfhab_999;-0.8174;0;
Surfhab=Surfhab_149;-1.236;0;
Surfhab=Surfhab_132;-1.1001;0;
Surfhab=Surfhab_112;-1.8704;0;
Surfhab=Surfhab_98;-0.6195;0;
Surfhab=Surfhab_92;-0.2903;0;
Surfhab=Surfhab_87;-0.7552;0;
Surfhab=Surfhab_81;-2.0203;0;
Surfhab=Surfhab_78;-0.5226;0;
Surfhab=Surfhab_75;-0.7564;0;
Surfhab=Surfhab_70;-0.8966;0;
Surfhab=Surfhab_68;-0.3483;0;
Surfhab=Surfhab_67;-0.4511;0;
Surfhab=Surfhab_64;-0.7232;0;
Surfhab=Surfhab_62;-0.9228;0;
