Dim.1
quanti
   ;correlation;p.value;
Patrib=Patrib_7;-0.1911;0;
Patrib=Patrib_6;-0.512;0;
Patrib=Patrib_5;-1.2135;0;
Patrib=Patrib_4;-1.4876;0;
Patrib=Patrib_3;-0.992;0;
Patrib=Patrib_2;-1.4275;0;
Patrib=Patrib_1;-1.0253;0;
vehic=vehic_2;-0.4222;0;
stalog4=stalog4_3;-1.7482;0;
stalog4=stalog4_1;-0.2076;0;
Stalog=Stalog_5;-2.3067;0;
Stalog=Stalog_4;-1.5159;0;
CONFORT.MOY=CONFORT.MOY_5;-0.1572;0;
CONFORT.MOY=CONFORT.MOY_3;-3.5372;0;
CONFORT7=CONFORT7_0;-0.3124;0;
CONFORT6=CONFORT6_0;-0.2428;0;
CONFORT5=CONFORT5_1;-0.3834;0;
CONFORT4=CONFORT4_1;-0.2581;0;
CONFORT2=CONFORT2_1;-0.3258;0;
Ancons=Ancons_99;-0.6895;0;
Ancons=Ancons_10;-1.8421;0;
Ancons=Ancons_9;-0.5622;0;
Ancons=Ancons_8;-0.0925;0;
Ancons=Ancons_3;-0.0251;0;
Htl=Htl_3;-1.3401;0;
Htl=Htl_2;-0.9309;0;
Surfhab=Surfhab_127;-0.6403;0;
Surfhab=Surfhab_122;-1.3169;0;
Surfhab=Surfhab_107;-2.3928;0;
Surfhab=Surfhab_94;-0.7871;0;
Surfhab=Surfhab_85;-0.2535;0;
Surfhab=Surfhab_84;-1.2642;0;
Surfhab=Surfhab_83;-1.1516;0;
Surfhab=Surfhab_76;-1.2863;0;
Surfhab=Surfhab_74;-0.7345;0;
Surfhab=Surfhab_73;-0.8004;0;
Surfhab=Surfhab_72;-0.9478;0;
Surfhab=Surfhab_71;-1.4792;0;
Surfhab=Surfhab_69;-1.5831;0;
Surfhab=Surfhab_68;-0.754;0;
Surfhab=Surfhab_66;-1.1772;0;
Surfhab=Surfhab_64;-0.9975;0;
Surfhab=Surfhab_63;-0.7648;0;
Surfhab=Surfhab_62;-1.2029;0;
Surfhab=Surfhab_61;-1.3876;0;
Surfhab=Surfhab_60;-0.5617;0;
Surfhab=Surfhab_59;-2.6255;0;
Surfhab=Surfhab_58;-0.9348;0;
Surfhab=Surfhab_57;-0.5469;0;
Surfhab=Surfhab_56;-1.391;0;
Surfhab=Surfhab_55;-0.4833;0;
Surfhab=Surfhab_52;-0.8653;0;
Surfhab=Surfhab_51;-1.4963;0;
Surfhab=Surfhab_50;-0.7957;0;
Surfhab=Surfhab_49;-2.2193;0;
Surfhab=Surfhab_48;-1.1144;0;
Surfhab=Surfhab_47;-2.2391;0;
Surfhab=Surfhab_45;-0.7733;0;
Surfhab=Surfhab_44;-0.7592;0;
Surfhab=Surfhab_43;-1.8513;0;
Surfhab=Surfhab_41;-1.8022;0;
Surfhab=Surfhab_40;-0.8358;0;
Surfhab=Surfhab_39;-0.7969;0;
Surfhab=Surfhab_38;-0.9751;0;
Surfhab=Surfhab_37;-1.2104;0;
Surfhab=Surfhab_35;-1.2505;0;
Surfhab=Surfhab_34;-2.2951;0;
Surfhab=Surfhab_33;-1.8612;0;
Surfhab=Surfhab_30;-1.3865;0;
Surfhab=Surfhab_28;-3.1466;0;
Surfhab=Surfhab_25;-2.2387;0;
Surfhab=Surfhab_22;-1.5565;0;
Surfhab=Surfhab_21;-1.3017;0;
Surfhab=Surfhab_20;-0.7572;0;
Surfhab=Surfhab_19;-2.806;0;
Surfhab=Surfhab_18;-2.1526;0;
Surfhab=Surfhab_16;-1.6105;0;
Surfhab=Surfhab_13;-2.751;0;
Nbphab=Nbphab_19;-1.6779;0;
Nbphab=Nbphab_13;-1.4458;0;
Nbphab=Nbphab_10;-0.5007;0;
Nbphab=Nbphab_3;-0.2915;0;
Nbphab=Nbphab_2;-0.9694;0;
Nbphab=Nbphab_1;-0.8239;0;
Nbrs=Nbrs_2;-0.122;0;
Nbrs=Nbrs_1;-0.0121;0;
Nbrs=Nbrs_0;-0.6496;0;
Existrs=Existrs_2;-0.3768;0;
TAU=TAU_99;-2.1793;0;
TAU=TAU_9;-0.403;0;
CATAEU=CATAEU_999;-2.3859;0;
CATAEU=CATAEU_221;-0.0609;0;
