"année";"nom territoire";"code insee";"nom commune";"secteur";"énergie";"usage";"valeur (GWh)"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Tertiaire";"Toutes énergies";"Autres usages";"0,0000219229743540606"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Tertiaire";"Toutes énergies";"Chauffage";"0,00305551490314062"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Tertiaire";"Toutes énergies";"Climatisation";"0,00116583935876588"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Tertiaire";"Toutes énergies";"Cuisson";"0,000108375403129041"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Tertiaire";"Toutes énergies";"Eclairage public";"0,00451332491240106"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Tertiaire";"Toutes énergies";"ECS";"0,000190238675941237"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Tertiaire";"Toutes énergies";"Electricité spécifique";"0,00272901306698314"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Tertiaire";"Toutes énergies";"Tous usages";"0,011784229294715"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Tous secteurs hors branche énergie";"Electricité";"Tous usages";"0,236197954361413"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Tous secteurs hors branche énergie";"ENRt";"Tous usages";"0,285294564622027"
"2018";"CC du Crestois et de Pays de Saillans Coeur de Drôme";"26015";"Aubenasson";"Tous secteurs hors branche énergie";"Organo-carburants";"Tous usages";"0,038620025679622"
